,Algorithm,Chi-squared,Df,Max Prob,Max Selection Prob Ratio,Mean Prob,Min Prob,Number of samples,P-value,PRNG,Pop size,Range,Range P-value,Sample size,reps,seed
98,Random_Sample,281.43794679999996,285,0.0035582,1.0331591173054588,0.0034965034965034965,0.003444,286.0,0.5484976947428204,MT,13,1142,0.22689050821411605,10,10000000,100
99,sample_by_index,290.7772768,285,0.003541,1.0297496146799663,0.0034965034965034965,0.0034387,286.0,0.39425385891568493,MT,13,1023,0.6559880501253521,10,10000000,100
100,Algorithm_R,290.79060000000004,285,0.00403,1.3300330033003298,0.003496503496503496,0.00303,286.0,0.39404200968831926,MT,13,100,0.7431885454857896,10,100000,233424280
101,FYKD,259.47360000000003,285,0.00405,1.3499999999999999,0.0034965034965034965,0.003,286.0,0.8587546090717273,MT,13,105,0.5474993866313964,10,100000,233424280
102,PIKK,291.73440000000005,285,0.00407,1.3796610169491526,0.0034965034965034965,0.00295,286.0,0.37913433967991245,MT,13,112,0.2900516821788044,10,100000,233424280
103,Random_Sample,265.55396,285,0.00404,1.3289473684210527,0.003496503496503496,0.00304,286.0,0.7897960602758447,MT,13,100,0.7431885454857896,10,100000,233424280
104,sample_by_index,326.226,285,0.00405,1.3775510204081631,0.0034965034965034965,0.00294,286.0,0.04672223401827327,MT,13,111,0.3220752930963534,10,100000,233424280
105,Algorithm_R,264.482432,285,0.00381,1.1573511543134873,0.0034965034965034965,0.003292,286.0,0.8031208625331053,MT,13,259,0.18676156465930993,10,500000,233424280
106,FYKD,263.913864,285,0.00373,1.1303030303030301,0.003496503496503496,0.0033,286.0,0.8099927495012461,MT,13,215,0.8642568728726043,10,500000,233424280
107,PIKK,284.677464,285,0.003698,1.1364474492931775,0.0034965034965034965,0.003254,286.0,0.49424893482160237,MT,13,222,0.7685508382538406,10,500000,233424280
108,Random_Sample,302.035376,285,0.003756,1.1571164510166356,0.003496503496503496,0.003246,286.0,0.23343399484123267,MT,13,255,0.2311519537971547,10,500000,233424280
109,sample_by_index,273.079592,285,0.00377,1.1458966565349544,0.0034965034965034965,0.00329,286.0,0.6838172925605438,MT,13,240,0.45477097142932066,10,500000,233424280
110,Algorithm_R,275.386968,285,0.003657,1.0952380952380953,0.0034965034965034965,0.003339,286.0,0.6477512382744587,MT,13,318,0.7227013680938026,10,1000000,233424280
111,FYKD,296.88444400000003,285,0.003672,1.118148599269184,0.0034965034965034965,0.003284,286.0,0.30192864381455986,MT,13,388,0.07372058217143285,10,1000000,233424280
112,PIKK,291.28628,285,0.003651,1.1000301295570956,0.0034965034965034965,0.003319,286.0,0.3861876592271075,MT,13,332,0.547999450103155,10,1000000,233424280
113,Random_Sample,289.045184,285,0.003668,1.0906928337793635,0.0034965034965034965,0.003363,286.0,0.42209591809695773,MT,13,305,0.8562960948772236,10,1000000,233424280
114,sample_by_index,254.925384,285,0.003644,1.0816265954289106,0.003496503496503496,0.003369,286.0,0.8995091329682735,MT,13,275,0.9896073880276911,10,1000000,233424280
115,Algorithm_R,293.9515672,285,0.0035958,1.0499912398528295,0.0034965034965034965,0.0034246,286.0,0.34496843105563424,MT,13,856,0.09342080408524644,10,5000000,233424280
116,FYKD,295.102088,285,0.0035694,1.0438062931336998,0.0034965034965034965,0.0034196,286.0,0.3277703952948042,MT,13,749,0.5102952643594012,10,5000000,233424280
117,PIKK,235.23096239999995,285,0.0035558,1.0336627906976745,0.0034965034965034965,0.00344,286.0,0.9857984574858321,MT,13,579,0.9989793446117367,10,5000000,233424280
118,Random_Sample,292.010428,285,0.0035648,1.039724668961092,0.0034965034965034965,0.0034286,286.0,0.3748130539245001,MT,13,681,0.860102583547741,10,5000000,233424280
119,sample_by_index,277.52796,285,0.0035678,1.0424238882720738,0.003496503496503496,0.0034226,286.0,0.6132337279445308,MT,13,726,0.6412646398313369,10,5000000,233424280
120,Algorithm_R,271.46484080000005,285,0.0035564,1.0323966558290756,0.0034965034965034965,0.0034448,286.0,0.7081942032191841,MT,13,1116,0.3026204107109941,10,10000000,233424280
121,FYKD,279.3721116,285,0.003548,1.032085405940018,0.0034965034965034965,0.0034377,286.0,0.5829013889720656,MT,13,1103,0.3456527696824907,10,10000000,233424280
122,PIKK,250.9323288,285,0.0035489,1.0313571636152281,0.0034965034965034965,0.003441,286.0,0.9278418223212902,MT,13,1079,0.43288594914952205,10,10000000,233424280
123,Random_Sample,282.2763844,285,0.0035492,1.0299776546040222,0.0034965034965034965,0.0034459,286.0,0.5344633612066415,MT,13,1033,0.6161590983415683,10,10000000,233424280
124,sample_by_index,306.7376784,285,0.0035574,1.035271520866073,0.003496503496503496,0.0034362,286.0,0.17981352481559776,MT,13,1212,0.09153919058877547,10,10000000,233424280
125,Algorithm_R,261.43556,285,0.00401,1.3104575163398693,0.0034965034965034965,0.00306,286.0,0.8382951404887169,MT,13,95,0.8924573886496382,10,100000,429496729
126,FYKD,276.7194,285,0.00401,1.3366666666666664,0.0034965034965034965,0.003,286.0,0.6263709524218288,MT,13,101,0.7062492933802603,10,100000,429496729
127,PIKK,238.71,285,0.00397,1.332214765100671,0.003496503496503496,0.00298,286.0,0.9786558868232409,MT,13,99,0.7781790228888004,10,100000,429496729
128,Random_Sample,264.82752,285,0.00404,1.3377483443708609,0.0034965034965034965,0.00302,286.0,0.7988825405921833,MT,13,102,0.6677682974408733,10,100000,429496729
129,sample_by_index,296.71652,285,0.00401,1.3104575163398693,0.0034965034965034965,0.00306,286.0,0.30431965859495286,MT,13,95,0.8924573886496382,10,100000,429496729
130,Algorithm_R,269.044704,285,0.003752,1.141813755325624,0.0034965034965034965,0.003286,286.0,0.7431631149683755,MT,13,233,0.579826153704255,10,500000,429496729
131,FYKD,291.96932000000004,285,0.003734,1.1439950980392157,0.0034965034965034965,0.003264,286.0,0.3754554572888457,MT,13,235,0.5436542499848038,10,500000,429496729
132,PIKK,299.8,285,0.00377,1.174454828660436,0.0034965034965034965,0.00321,286.0,0.2619658645893279,MT,13,280,0.05035606358927458,10,500000,429496729
133,Random_Sample,206.58116,285,0.003658,1.1193390452876375,0.0034965034965034965,0.003268,286.0,0.9998511662900869,MT,13,195,0.9885983501540424,10,500000,429496729
134,sample_by_index,269.93588,285,0.003738,1.1334141904184354,0.0034965034965034965,0.003298,286.0,0.7305198870146169,MT,13,220,0.7985074236216183,10,500000,429496729
135,Algorithm_R,244.909664,285,0.003627,1.0813953488372092,0.0034965034965034965,0.003354,286.0,0.9587917635757639,MT,13,273,0.9918865482086804,10,1000000,429496729
136,FYKD,290.738304,285,0.003655,1.1028968014484006,0.003496503496503496,0.003314,286.0,0.39487377321401484,MT,13,341,0.4354181914682833,10,1000000,429496729
137,PIKK,268.345648,285,0.003649,1.1135184620079341,0.003496503496503496,0.003277,286.0,0.7528791919219239,MT,13,372,0.1486403498428559,10,1000000,429496729
138,Random_Sample,270.1137,285,0.003685,1.1009859575739467,0.0034965034965034965,0.003347,286.0,0.7279637097445659,MT,13,338,0.4721958307875387,10,1000000,429496729
